slug,车型,来源车型名,代际,上市日期,指导价(万元),动力形式,纯电续航(km),综合续航(km),馈电油耗(L/100km),油箱(L),电池(kWh),平台电压(V),功率(kW),扭矩(N·m),0-100(s),最高车速(km/h),长(mm),宽(mm),高(mm),轴距(mm),整备质量(kg),耗电(kWh/100km),快充区间(%),快充时间(min),座椅布局,前排座椅,后排座椅,屏幕与交互,音响系统,空调与舒适,座舱系统,驱动,增程器,电池品牌/类型,辅助驾驶,来源,待核对
su7-ultra-2025-track,小米SU7 Ultra 赛道专业套装,小米SU7 Ultra 赛道专业套装版,2025 款,2025-06-26,62.99,纯电,555,,,,93.7,800,1138,1770,1.98,350,5070,1970,1465,3000,,16.5,10-80,11,5 座（2+3）,Alcantara® 豪华运动座椅，前排石墨烯加热与按摩，升级主动侧翼支撑。,后排运动座椅，支持 4/6 比例放倒；后排配独立空调与冷暖冰箱。,7.1″ 仪表 + 16.1″ 3K 中控屏 + 56″ HUD，支持 CarPlay 与 HyperOS 互联。,25 扬声器音响系统，支持主动降噪与自研音频算法。,四门隔音隔热玻璃、热泵空调、主动降噪与赛道化座舱；前排双 50W 无线充电。,Xiaomi HyperOS + 高通骁龙 8295 座舱芯片，支持超级小爱与车家互联。,前置+后置三电机,,三元锂（宁德时代麒麟 II 赛道电池）,Xiaomi HAD：1 颗 128 线激光雷达 + 3 颗毫米波雷达 + 双 NVIDIA Orin-X,新浪 · 小米SU7 Ultra 赛道专业套装上市报道(B/2026-09-21) + 汽车之家 · 小米SU7 Ultra 参数配置(B/2026-09-21) + 小米汽车官网 · SU7 Ultra 内饰与座舱(A/2026-09-21),赛道专业套装为 SU7 Ultra 的官方选装版本（2025-06-26 公布价格），动力与电池与基础版一致 / CLTC 555km（易车口径，低于基础版 630km，源于赛道轮胎与空力套件）；整备质量未见公开数据
su7-ultra-2025-nurburgring,小米SU7 Ultra 纽北限量版,小米SU7 Ultra 2025款 纽北限量版,2025 款,2025-06-26,81.49,纯电,520,,,,93.7,800,1138,1770,1.98,350,5115,1970,1465,3000,2330,19.4,10-80,11,2 座赛道化布局,SPARCO 碳纤维赛车桶椅 + 六点式安全带，无电动调节、通风与按摩。,后排座椅拆除，换装半幅防滚架以减重。,延续 SU7 Ultra 的仪表、16.1″ 中控屏与 HyperOS 交互系统。,延续 SU7 Ultra 25 扬声器座舱音响系统。,赛道化减重座舱，保留 Ultra 基础安全与互联配置。,Xiaomi HyperOS + 高通骁龙 8295 座舱芯片。,前置+后置三电机,,三元锂（宁德时代麒麟 II 赛道电池）,Xiaomi HAD：1 颗 128 线激光雷达 + 3 颗毫米波雷达 + 双 NVIDIA Orin-X,汽车之家 · 小米SU7 Ultra 纽北限量版参数（specid 70554）(B/2026-09-21) + 汽车之家 · 小米SU7 Ultra 参数配置(B/2026-09-21) + 小米汽车官网 · SU7 Ultra 内饰与座舱(A/2026-09-21),纽北限量版为 SU7 Ultra 的限量旗舰版本：全球限量 100 台，其中 2025 款专属版本限量 10 台 / CLTC 520km（低于基础版 630km，源于赛道轮胎与空力套件）；车长 5115mm（含空力套件），整备质量 2330kg / 0-100km/h 1.98s、最高车速 350km/h、电池 93.7kWh 麒麟 II，与基础版同源
su7-2024-standard,小米SU7 标准版,小米SU7 2024款 后驱长续航智驾版,初代（2024款）,2024-03-28,21.59,纯电,700,,,,73.6,400,220,400,5.28,210,4997,1963,1455,3000,1980,12.3,10-80,25.2,5 座（2+3）,运动风格座椅，主 / 副驾电动调节，前排加热与通风；Max 增加主驾记忆。,后排 4/6 比例放倒，配中央扶手与空调出风口。,7.1″ 翻转仪表 + 16.1″ 3K 中控屏；Max 标配 56″ HUD。,标准版 10 扬声器；Pro / Max 25 扬声器，支持杜比全景声。,双温区自动空调、热泵、PM2.5 过滤；主动式氛围灯与 4.4L 车载冰箱按版本或选装提供。,Xiaomi HyperOS + 高通骁龙 8295 座舱芯片，支持全车语音控车。,后置单电机,,磷酸铁锂（73.6kWh；供应商随机装，品牌不可按车确定）,小米智驾 Pro：1× 英伟达 Orin-N（84TOPS），纯视觉，无激光雷达,汽车之家 · 小米SU7 参数配置(B/2026-09-21) + 新浪·东方财富 · 小米汽车电池供应商速览表（媒体整理）(C/2026-09-21) + 搜狐 · 初代小米SU7 标准版与 Pro/Max 智驾硬件差异（媒体）(C/2026-09-21) + 工信部 · 免征车辆购置税的新能源汽车车型目录（第七十二批）(A/2026-09-21) + 新浪 · 小米客服回应 SU7 电池问题：标准版双供应商随机装（媒体转载官方答复）(B/2026-09-21),工信部目录核实（A 级）：车辆型号 BJ7000MBEVR2，动力蓄电池组总能量 73.6 kWh，整备质量 1980 kg，续航 668/628 km（两值为轮毂配置差异，与电池供应商无关） / 标准版为弗迪 / 宁德时代双供应商随机装，官方口径两种电池续航一致（CLTC 700km），因此不标注电池品牌
su7-2024-pro,小米SU7 Pro版,小米SU7 2024款 后驱超长续航高阶智驾Pro版,初代（2024款）,2024-03-28,24.59,纯电,830,,,,94.3,400,220,400,5.7,210,4997,1963,1455,3000,2090,12.9,10-80,30,5 座（2+3）,运动风格座椅，主 / 副驾电动调节，前排加热与通风；Max 增加主驾记忆。,后排 4/6 比例放倒，配中央扶手与空调出风口。,7.1″ 翻转仪表 + 16.1″ 3K 中控屏；Max 标配 56″ HUD。,标准版 10 扬声器；Pro / Max 25 扬声器，支持杜比全景声。,双温区自动空调、热泵、PM2.5 过滤；主动式氛围灯与 4.4L 车载冰箱按版本或选装提供。,Xiaomi HyperOS + 高通骁龙 8295 座舱芯片，支持全车语音控车。,后置单电机,,磷酸铁锂（宁德时代神行电池）,小米智驾 Max：2× 英伟达 Orin-X（508TOPS）+ 禾赛 128 线激光雷达,汽车之家 · 小米SU7 参数配置(B/2026-09-21) + 新浪·东方财富 · 小米汽车电池供应商速览表（媒体整理）(C/2026-09-21) + 搜狐 · 初代小米SU7 标准版与 Pro/Max 智驾硬件差异（媒体）(C/2026-09-21) + 工信部 · 免征车辆购置税的新能源汽车车型目录（第七十二批）(A/2026-09-21),工信部目录核实（A 级）：小米SU7 车系已列入第七十二批免税目录（BJ7000MBEVA1 / BJ7000MBEVR2） / 电池品牌为媒体口径（C 级）：94.3 kWh 宁德时代神行磷酸铁锂电池，待官方资料进一步确认
su7-2024-max,小米SU7 Max版,小米SU7 2024款 四驱超长续航高阶智驾Max版,初代（2024款）,2024-03-28,29.99,纯电,800,,,,101,800,495,838,2.78,265,4997,1963,1440,3000,2205,13.7,10-80,19.2,5 座（2+3）,运动风格座椅，主 / 副驾电动调节，前排加热与通风；Max 增加主驾记忆。,后排 4/6 比例放倒，配中央扶手与空调出风口。,7.1″ 翻转仪表 + 16.1″ 3K 中控屏；Max 标配 56″ HUD。,标准版 10 扬声器；Pro / Max 25 扬声器，支持杜比全景声。,双温区自动空调、热泵、PM2.5 过滤；主动式氛围灯与 4.4L 车载冰箱按版本或选装提供。,Xiaomi HyperOS + 高通骁龙 8295 座舱芯片，支持全车语音控车。,前置+后置双电机,,三元锂（宁德时代麒麟电池）,小米智驾 Max：2× 英伟达 Orin-X（508TOPS）+ 禾赛 128 线激光雷达,汽车之家 · 小米SU7 参数配置(B/2026-09-21) + 新浪·东方财富 · 小米汽车电池供应商速览表（媒体整理）(C/2026-09-21) + 搜狐 · 初代小米SU7 标准版与 Pro/Max 智驾硬件差异（媒体）(C/2026-09-21) + 工信部 · 免征车辆购置税的新能源汽车车型目录（第七十二批）(A/2026-09-21),工信部目录核实（A 级）：车辆型号 BJ7000MBEVA1，动力蓄电池组总能量 101 kWh，整备质量 2205 kg，续航 800/750 km（标配/选装轮毂两值） / 电池品牌为媒体口径（C 级）：101 kWh 宁德时代三元锂（麒麟）电池，待官方资料进一步确认
su7-2026-standard,新一代 小米SU7 标准版,小米SU7 2026款 后驱标准版,新一代（2026款）,2026-03-19,21.99,纯电,720,,,,73,752,235,505,5.28,240,4997,1963,1460,3000,2055,11.7,10-80,19.8,5 座（2+3）,主驾 18 向电动运动座椅 + 10 点式按摩；前排支持加热与通风。,后排 4/6 比例放倒，配中央扶手与空调出风口。,7.1″ 翻转仪表 + 16.1″ 3K 中控屏；Max 标配 56″ HUD，标准 / Pro 可选装。,标准 / Pro 14 扬声器；Max 25 扬声器。,三层环绕式氛围灯、双温区自动空调、热泵、空气净化；4.4L 车载冰箱为选装。,Xiaomi HyperOS + 高通骁龙 8295 座舱芯片，支持超级小爱与多设备互联。,后置单电机,,磷酸铁锂（73kWh；供应商口径不一，暂不标注品牌）,Xiaomi HAD（全系标配激光雷达 + 4D 毫米波雷达 + 700TOPS 算力）,汽车之家 · 小米SU7 参数配置(B/2026-09-21) + 小米汽车官网 · SU7(A/2026-09-21) + 媒体口径汇总（有驾/腾讯新闻等，未获官方页面）(C/2026-09-21),官方口径交叉校验：官网「21.99 万起」「CLTC 最长 902km」「标准版/Pro 版 752V、Max 版 897V」与汽车之家数据一致 / 电池供应商为媒体口径（弗迪/宁德时代），待官方确认
su7-2026-pro,新一代 小米SU7 Pro版,小米SU7 2026款 后驱Pro版,新一代（2026款）,2026-03-19,24.99,纯电,902,,,,96.3,752,235,505,5.7,240,4997,1963,1445,3000,2180,12.2,10-80,21,5 座（2+3）,主驾 18 向电动运动座椅 + 10 点式按摩；前排支持加热与通风。,后排 4/6 比例放倒，配中央扶手与空调出风口。,7.1″ 翻转仪表 + 16.1″ 3K 中控屏；Max 标配 56″ HUD，标准 / Pro 可选装。,标准 / Pro 14 扬声器；Max 25 扬声器。,三层环绕式氛围灯、双温区自动空调、热泵、空气净化；4.4L 车载冰箱为选装。,Xiaomi HyperOS + 高通骁龙 8295 座舱芯片，支持超级小爱与多设备互联。,后置单电机,,磷酸铁锂（96.3kWh；混装供应商，暂不标注品牌）,Xiaomi HAD（全系标配激光雷达 + 4D 毫米波雷达 + 700TOPS 算力）,汽车之家 · 小米SU7 参数配置(B/2026-09-21) + 小米汽车官网 · SU7(A/2026-09-21) + 媒体口径汇总（有驾/腾讯新闻等，未获官方页面）(C/2026-09-21),官方口径交叉校验：官网「CLTC 续航最长可达 902km」与本版本一致 / 电池供应商为媒体口径（弗迪/宁德时代），待官方确认
su7-2026-max,新一代 小米SU7 Max版,小米SU7 2026款 四驱Max版,新一代（2026款）,2026-03-19,30.39,纯电,835,,,,101.7,897,508,866,3.08,265,4997,1963,1445,3000,2280,13.4,10-80,12,5 座（2+3）,主驾 18 向电动运动座椅 + 10 点式按摩；前排支持加热与通风。,后排 4/6 比例放倒，配中央扶手与空调出风口。,7.1″ 翻转仪表 + 16.1″ 3K 中控屏；Max 标配 56″ HUD，标准 / Pro 可选装。,标准 / Pro 14 扬声器；Max 25 扬声器。,三层环绕式氛围灯、双温区自动空调、热泵、空气净化；4.4L 车载冰箱为选装。,Xiaomi HyperOS + 高通骁龙 8295 座舱芯片，支持超级小爱与多设备互联。,前置+后置双电机,,三元锂（宁德时代麒麟）,Xiaomi HAD（全系标配激光雷达 + 4D 毫米波雷达 + 700TOPS 算力）,汽车之家 · 小米SU7 参数配置(B/2026-09-21) + 小米汽车官网 · SU7(A/2026-09-21) + 媒体口径汇总（有驾/腾讯新闻等，未获官方页面）(C/2026-09-21),官方口径交叉校验：官网「Max 版峰值电压 897V」与本版本一致 / 电池供应商为媒体口径（弗迪/宁德时代），待官方确认
yu7-2026-standard,小米YU7 标准版,小米YU7 2026款 后驱标准版,2026 款,2026-05-21,23.35,纯电,643,,,,73,800,235,528,5.9,220,4999,1996,1608,3000,2200,12.9,10-80,20,5 座（2+3）,Nappa 真皮座椅；主 / 副驾零重力舒适座椅（配置区分版本），支持躺倒与 10 点式按摩。,后排 135° 豪华电动座椅，支持 4/6 比例电动放倒。,1.1m 小米天际屏全景显示（三块 Mini LED）+ 16.1″ 3K 中控屏。,25 扬声器豪华音响系统，支持杜比全景声。,热泵空调、后排独立空调、PM2.5 / 空气质量监测；4.6L 冷暖冰箱按版本提供。,Xiaomi HyperOS + 第三代骁龙 8 移动平台（4nm），支持超级小爱。,后置单电机,,磷酸铁锂（宁德时代）,Xiaomi HAD：全系标配激光雷达 + 4D 毫米波雷达 + NVIDIA DRIVE AGX Thor,汽车之家 · YU7 参数配置(B/2026-09-21) + 小米汽车官网 · YU7 座舱与配置(A/2026-09-21),参数取自汽车之家参配库（B 级），待与官方资料交叉核对
yu7-2026-gt,小米YU7 GT,小米YU7 2026款 四驱GT,2026 款,2026-05-21,38.99,纯电,705,,,,101.7,800,738,1068,2.92,300,5015,2007,1597,3000,2460,15.9,10-80,12,5 座（2+3）,Alcantara® 豪华运动座椅，四座支持按摩；赛道红主题座舱。,后排 135° 豪华电动座椅，支持 4/6 比例电动放倒。,1.1m 小米天际屏全景显示 + 16.1″ 3K 中控屏，中控界面提供 GT 专属主题。,25 扬声器豪华音响系统，支持杜比全景声。,热泵空调、后排独立空调、PM2.5 / 空气质量监测；4.6L 冷暖冰箱按版本提供。,Xiaomi HyperOS + 第三代骁龙 8 移动平台（4nm），支持超级小爱。,前置+后置双电机,,三元锂,Xiaomi HAD：全系标配激光雷达 + 4D 毫米波雷达 + NVIDIA DRIVE AGX Thor,汽车之家 · YU7 参数配置(B/2026-09-21) + 小米汽车官网 · YU7 座舱与配置(A/2026-09-21),参数取自汽车之家参配库（B 级），待与官方资料交叉核对
